municipio;uf
Alegrete;RS
Balsas;MA
Angra dos Reis;RJ
Aracruz;ES
Araguaina;TO
Arapiraca;AL
Araruama;RJ
Armacao dos Buzios;RJ
Bage;RS
Imperatriz;MA
Barra do Pirai;RJ
Barra Mansa;RJ
Barreiras;BA
Paco do Lumiar;MA
Cabedelo;PB
Cabo Frio;RJ
Cachoeira do Sul;RS
Cachoeiro de Itapemirim;ES
Caldas Novas;GO
Camaqua;RS
Campo Verde;MT
Santa Ines;MA
Canela;RS
Sao Jose de Ribamar;MA
Capao da Canoa;RS
Capinzal;SC
Carazinho;RS
Carlos Barbosa;RS
Sao Luis;MA
Catalao;GO
Charqueadas;RS
Concordia;SC
Crato;CE
Divinopolis;MG
Dois Irmaos;RS
Erechim;RS
Estrela;RS
Eunapolis;BA
Flores da Cunha;RS
Formosa;GO
Fraiburgo;SC
Garanhuns;PE
Garibaldi;RS
Garopaba;SC
Gramado;RS
Guanambi;BA
Guarapari;ES
Ibirite;MG
Igrejinha;RS
Iguaba Grande;RJ
Ijui;RS
Ilheus;BA
Imbituba;SC
Altamira;PA
Inhumas;GO
Itaberai;GO
Itabuna;BA
Itaperuna;RJ
Itumbiara;GO
Ivoti;RS
Jaragua;GO
Jatai;GO
Jequie;BA
Ji-Parana;RO
Juazeiro do Norte;CE
Lagarto;SE
Lagoa Vermelha;RS
Lajeado;RS
Lucas do Rio Verde;MT
Luis Eduardo Magalhaes;BA
Macapa;AP
Mafra;SC
Manaus;AM
Mangaratiba;RJ
Mineiros;GO
Morrinhos;GO
Mossoro;RN
Navegantes;SC
Nova Lima;MG
Nova Mutum;MT
Nova Petropolis;RS
Osorio;RS
Belem;PA
Palmas;TO
Palmeira das Missoes;RS
Canaa dos Carajas;PA
Paraty;RJ
Capanema;PA
Parnaiba;PI
Parnamirim;RN
Patos;PB
Petrolina;PE
Petropolis;RJ
Picos;PI
Pocos de Caldas;MG
Pomerode;SC
Porto Seguro;BA
Pouso Alegre;MG
Primavera do Leste;MT
Castanhal;PA
Resende;RJ
Ribeirao das Neves;MG
Rio Bonito;RJ
Rio das Ostras;RJ
Rio do Sul;SC
Paragominas;PA
Santa Luzia;MG
Santa Maria de Jetiba;ES
Santa Rosa;RS
Sant'Ana do Livramento;RS
Santo angelo;RS
Santo Antonio de Jesus;BA
Sao Bento do Sul;SC
Parauapebas;PA
Redencao;PA
Sao Marcos;RS
Sao Mateus;ES
Sao Pedro da Aldeia;RJ
Sarandi;RS
Sete Lagoas;MG
Sinop;MT
Sobral;CE
Sorriso;MT
Tangara da Serra;MT
Taquara;RS
Teixeira de Freitas;BA
Teresina;PI
Teresopolis;RJ
Teutonia;RS
Timoteo;MG
Torres;RS
Tramandai;RS
Tres Coracoes;MG
Tres de Maio;RS
Tres Lagoas;MS
Tres Pontas;MG
Tres Rios;RJ
Tucurui;PA
Uberaba;MG
Uberlandia;MG
Uruguaiana;RS
Vacaria;RS
Valenca;RJ
Varginha;MG
Venancio Aires;RS
Veranopolis;RS
Viana;ES
Vitoria da Conquista;BA
Volta Redonda;RJ
Xangri-la;RS
